reag,count
FC(F)(F)Cc1nc2c(Cl)cccc2n1Cl,56
CCCN,55
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,55
ClCCl.O=C([O-])O.[Na+],55
CN1CCCCC1,55
C1COCCO1.O,55
OC1CCNC1,55
C=CC(=O)Cl,55
CCCC[Mg]Cl,55
Cc1cc(N2CCN(CCOc3ccccc3)C2=O)sc1C(=O)O,55
O.S.[Na],54
O=C(Cl)OC(Cl)(Cl)Cl,54
CCC(C)O,54
NC(=O)CCC(=O)NI,54
CO.ClCCl.N,53
CC(C)O.Cl,53
CB1OC(c2ccccc2)(c2ccccc2)[C@@H]2CCCN12,53
CCCCC(CC)C(=O)[O-].[Na+],53
O[C@H](CS)[C@H](O)CS,53
[K+].[K+].[S-2],53
BrCC1CC1,52
O.O=C(O)CC(O)(CC(=O)O)C(=O)O,52
O=C[O-].[K+],51
O=S(=O)(Cl)c1ccccc1,51
C1=C(C2=NNCCCCCCCC2)CCCCCCCCC1,51
O.O.O.O.O.O.O.O.O.O.O=C([O-])[O-].[Na+].[Na+],51
C[N+](=O)[O-],51
O=P(Cl)(Oc1ccccc1)Oc1ccccc1,51
C[Mg]Cl,51
[N-]=[N+]=NP(=O)(Oc1ccccc1)Oc1ccccc1,51
CSC.[B],51
OCC(F)(F)F,51
O.O=[PH2][O-].[Na+],51
O=C(Cl)c1cc(Cl)ccn1,51
O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1.[Na+],51
COC(=O)C=C(c1ccc(OC)c(OC)c1)c1ccc(OC)c(OC)c1,51
C1CCCCC1.CCOC(C)=O,50
CO.ClCCl.[NH4+].[OH-],50
OCCNCCO,50
NCc1ccco1,50
CC(C)I,50
CN(C)C(N(C)C)=[N+]1N=[N+]([O-])c2ccccc21.F[P-](F)(F)(F)(F)F,50
BrP(Br)(c1ccccc1)(c1ccccc1)c1ccccc1,50
Nc1ccccc1N,49
CC(C)(C)O[Al](OC(C)(C)C)OC(C)(C)C.[H-].[Li+],49
CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2nc(CC(=O)O)cs2)cc1,49
Oc1c(F)c(F)c(F)c(F)c1F,49
CC[N+](CC)(CC)S(=O)(=O)NC(=O)OC.[OH-],49
OB(O)C1CC1,49
c1ccc([As](c2ccccc2)c2ccccc2)cc1,49
OCC1(O)OC[C@@H](O)[C@@H](O)[C@H]1O,48
CCCN(CCC)CCC,48
COCCOCCOC,48
COS(=O)(=O)c1ccc(C)cc1,48
F[B-](F)(F)F.[Na+],48
Cc1noc2cc3c(cc12)C1(CO3)C(=O)Nc2ccccc21,48
CC(C)[SiH](C(C)C)C(C)C,48
CNC1CCCCC1NC,48
O=O.O=[O+][O-],48
CCO.Cc1ccccc1,48
[B-].[Na+],47
O=C1CCC(=O)N1,47
O.O.O=C(O)C(=O)O,47
Cc1ccc(S(=O)(=O)NN)cc1,47
CCOB(OCC)OCC,47
CNCCN(C)C,47
CC(N)=O,46
O=C(O)c1cccc(Cl)c1,46
[Na+].[O-]Br,46
[B-][N+](C)(C)C,46
CCCBr,46
O=C(Cl)CCl,46
C[O-].[K+],46
CI.ClCCCl,46
CCCC[Sn](Cl)(CCCC)CCCC,46
CC(C)[Mg]Br,46
c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,46
CCOC(=O)c1nc(Nc2cccc(O)c2)nc(Nc2cccc(O)c2)c1N,46
Nc1ccc2[nH]ccc2c1,46
Cc1cc(CN)c(C)o1,46
O=[PH2][O-].[Na+],45
CCO.[Na+].[OH-],45
O=C(O)C(Cl)(Cl)Cl,45
CC(C)(C)OC(=O)N1CCNCC1,45
CC(C)(C)c1ccc(Nc2nc(Nc3ccc4c(c3)CC(C(=O)O)O4)ncc2F)cc1,45
NCCCC[C@H](N)C(=O)O,45
[O-][I+2]([O-])O,45
Brc1ccccc1,45
CS(=O)(=O)NC(=O)c1cc(Cl)c(F)cc1F,45
OCC12CC3CC(CC(C3)C1)C2,45
O=C1Nc2ccccc2/C1=C/O,45
C=CCN,45
Oc1cccc(Nc2ncc(Br)c(Nc3cccc(O)c3)n2)c1,45
OCCCCCCCCO,45
O=C(O)/C=C\C(=O)O,44
ClCCl.O,44
CC(C)=O.ClCCl,44
[B]1Oc2ccccc2O1,44
C#C[Si](C)(C)C,44
C1CCNCC1.CC(=O)O,44
CC#N.O=C=O,44
CN[C@H]1CCCC[C@@H]1NC,44
CCO.Cc1ccccc1.O,44
CC(=O)O.NN,44
O=C1C(Br)=C(c2ccccc2)c2ccc(OCCN3CCOCC3)cc21,44
Oc1cccc(Nc2nc(Cl)ncc2F)c1,44
OP(O)O,43
CCOC(=O)CC(=O)OCC,43
C[Mg+].[Br-],43
CC(=O)CC(C)=O,43
CC(C)(C)c1cccc(C(C)(C)C)n1,43
CCOCC.O,43
CN(C)CCO,43
O.O.O.O.O.O.O.[Ce+3].[Cl-].[Cl-].[Cl-],43
CCCC(C)C,43
[Na+].[O-][Br+2]([O-])[O-],43
O=C(O)CC(=O)O,43
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ce+4].[NH4+],43
O=CC1CC1,43
O=c1c2ccccc2nnn1O,43
CC(C)(C)OOC(C)(C)C,43
C1CCOC1.CCCCCCC.CCc1ccccc1,43
O=C(Cl)C1CCCCC1,42
C=C(C)C,42
COC(C)=O,42
CCC(C)[BH-](C(C)CC)C(C)CC.[K+],42
[B-]C#N.[Na+],42
CN.CO,42
Br[Mg]c1ccccc1,42
C[N+](C)(C)C.O.O.O.O.O.[OH-],42
O=C(Cl)c1c(Cl)cc(Cl)cc1Cl,42
CC1(C)OO1,42
COP(OC)OC,41
Cc1ccccc1S(=O)(=O)O.O,41
C1=NCCCN2CCCCC12,41
CCCC[Sn](CCCC)(CCCC)c1cnc(C(CCCCCCc2ccccc2)O[Si](C)(C)C(C)(C)C)o1,41
C#CCBr,40
CCCCCCCCCCCCS,40
CNCCC(c1ccccc1)c1cccc2cc[nH]c12,40
CC(C)C1=CC(C(C)C)=C(c2ccccc2)C(C(C)C)(P(C2CCCCC2)C2CCCCC2)C1,40
CC(=O)N[Si](C)(C)C,40
c1ccc2c(c1)Nc1ccccc1S2,40
c1nc[nH]n1,40
CC1(C)C(=O)N(Cl)C(=O)N1Cl,40
[Cl-].[Cl-].[Cl-].[In+3],40
OB(O)c1ccc(Cl)cc1,40
O.O.O.O.O.O.O=C([O-])c1ccccc1C(=O)O[O-].[Mg+2],40
O=[Si]=O,39
O=C(Cl)C(Cl)(Cl)Cl,39
Cl.ClCCN1CCCCC1,39
[Li]CCCCCC,39
CC(C)(C)[Si](C)(C)Cl,39
O=C(O)c1cccc2ccccc12,39
CCP(=O)(C#N)CC,39
CC[NH+](CC)CC.CC[NH+](CC)CC.O=C([O-])[O-],39
CCN=C=N.Cl,39
Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,39
NCc1ccccn1,39
C1=COCCC1,39
N[C@@H](Cc1ccc(O)cc1)C(=O)O,39
CCO.CN(C)C=O,39
C=Cc1ccccc1,39
CN(C)C.Cl,39
CC1(C)C2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,39
O=S(=O)(O)c1ccccc1,39
NC(C1CCCCC1)C1CCCCC1,39
O=C(Oc1cccc(I)c1OC(=O)C(F)(F)F)C(F)(F)F,39
O=S(=O)([O-])c1cccc(P(c2cccc(S(=O)(=O)[O-])c2)c2cccc(S(=O)(=O)[O-])c2)c1.[Na+].[Na+].[Na+],38
CCCCCCCCCCc1nnn(C(C(=O)OCC)c2ccccc2)n1,38
CN(C)CCCN,38
N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,38
CCOCCOCCO,38
OCCN(CCO)CCO,38
c1cc[nH+]cc1,38
CCOC(=S)[S-].[K+],38
CC(C)c1cccc(C(C)C)c1N,38
C1CCC(CNCC2CCCCC2)CC1,38
NCc1cncc(F)c1,38
O=C(O)c1cccc(OO)c1C(=O)O,38
CC(C)(C)c1cc(C(=O)NCc2ccc([N+](=O)[O-])cc2)cc(C(C)(C)C)c1O,37
C1=CCCC=C1,37
c1cn[nH]c1,37
CC(=O)OCc1c2ccccc2c(COC(C)=O)c2ccccc12,37
CC(=O)O.O,37
[Zn],37
CCCCOCCCC,37
CCOC(=O)CBr,37
CC[O+](CC)CC.F[B-](F)(F)F,37
C[O+](C)C.F[B-](F)(F)F,37
CN(C)C(ON1C(=O)CCC1=O)=[N+](C)C.F[B-](F)(F)F,37
O=NOS(=O)(=O)O,37
CCOC(=O)N=NC(=O)OCC.Cc1ccccc1,37
CC(C)(C)[Mg]Cl,37
O=C([O-])[O-].O=C([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+],37
O=C1Nc2ccccc2C1=O,37
Cc1nc(N2CCN(Cc3csc4ccc(Cl)cc34)C2=O)sc1C(=O)O,37
O=C1c2ccccc2C(=O)N1SN1C(=O)c2ccccc2C1=O,37
F[n+]1cc(Cl)cc(Cl)c1.O=S(=O)([O-])C(F)(F)F,37
O.[Na+].[Na+].[S-2],36
NCC(=O)O,36
[In],36
NC(=O)c1ccccc1,36
C1CCOC1.CO.O,36
Fc1cc(Br)ccc1OCCN1CCCCC1,36
CCC#N,36
O=C=Nc1cccc2cnccc12,36
CN(C)C(On1nnc2cccnc21)=[N+](C)C.C[NH3+].F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,36
[SiH4],36
CC(=O)Br,36
C=CC=C,36
COC=O,36
Cc1ccc(C)cc1,36
C1CCOC1.CC(C)[N-]C(C)C.[Li+],36
O=c1[nH]nc(CCc2ccccc2)cc1O,36
[Na][Na],35
CCOC(=O)c1sc(N2CCN(c3ccccc3)C2=O)nc1C,35
CCCC[N+](CCCC)(CCCC)CCCC.[BH4-],35
CC(=O)c1ccccc1,35
OCCCO,35
O.O.O.O.O=C([O-])C(O)C(O)C(=O)[O-].[K+].[Na+],35
[Br-],35
CCCCCCCCCCc1nnn(CC(=O)O)n1,35
CC[Al+2].[Cl-].[Cl-],35
N#Cc1ccc2ccc(=O)n(CCN3CCC(N)CC3)c2c1,35
CCOC(=O)CC(=O)c1cc(F)c(F)c(Cl)c1F,35
S=C(Cl)Oc1ccccc1,35
CCOCC.ClCCl,34
CCN(C)C,34
O.O=S(=O)(O)O,34
C1CO1,34
CBr,34
O=S(=O)=O,34
[Mg+2].[Mg+2].[O-][Si]([O-])([O-])[O-],34
Cc1cc(C)nc(N2C[C@@H]3CCNC[C@@H]32)n1,34
CNC=O,34
FC(F)(F)c1ccc(CBr)cc1,34
O.O=C(O)C(F)(F)F,34
Oc1ccccn1,34
OCC(O)CO,34
O=C1Nc2ccccc2C12COc1cc3c(cc12)CCO3,34
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,34
Cl[Mg]c1ccccc1,34
[BH3-]OC(C)=O.[Na+],34
ON=Cc1ccccc1O,34
CCOC(=O)COc1ccc(Sc2cc(C#Cc3ccc(CO)cc3)cc(OCCc3ccc(Cl)cc3)c2)cc1C,34
C[Si](C)(C)[Si](C)(C)C.[Li],34
CC(C)c1cc(C(C)C)c(S(=O)(=O)N=[N+]=[N-])c(C(C)C)c1,34
COP(=O)(OC)C(=[N+]=[N-])C(C)=O,34
O=C1N(C(c2ccccc2)c2ccccc2)c2cccc(Cl)c2C1(O)c1cc2c(cc1O)OCC2,34
CC(=O)O.N=CN,33
CCO.ClCCl,33
O=C(c1ccccc1)c1ccccc1,33
CCCS,33
COc1ccc2c(c1)C1(C)CCCCC(C2)C1=O,33
CC[NH+](CC)CC.[Cl-],33
O=[N+]([O-])[O-].[Ce].[NH4+],33
COC(C)(C)OC,33
CC(C)[N+](=O)[O-],33
CN(O)C1CC1.Cl,33
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,32
CN(C)C(F)=[N+](C)C.F[P-](F)(F)(F)(F)F,32
CC[N+](=O)[O-],32
OC1CCCCC1,32
CCCCCON=O,32
C=CC(=O)OCC,32
C[Si](C)(Cl)Cl,32
CC(N)=S,32
C1CCOC1.CC(C)(C)[O-].[K+],32
[Li]N([Si](C)(C)C)[Si](C)(C)C,32
[N-]=[N+]=N,32
CCC(=O)[O-].[Na+],32
CS(=O)(=O)O.O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3,32
Cl.NC(CO)(CO)CO,32
Oc1cc2ccccc2[nH]1,32
Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)O,32
Cc1ccc(Cl)cc1N1C(=O)c2cc(Br)n(C(C)C)c2C1c1ccc(Cl)cc1,32
COCO[C@H]1CCN([C@@H](CO)c2ccccc2)C1,32
O=C1C(=O)N(CCC2CC2)c2ccccc21,32
CCn1nnc2c(N3CCC(F)(F)C3)nc(C(C)(C)C)nc21,32
c1cncnc1,31
Nc1ccccc1S,31
O=S(=O)(O)O.O=[N+]([O-])O,31
O=S(O)O,31
c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,31
CCCCCCCCCCCCCCCCCC(=O)O,31
O=C(Cl)OCCCl,31
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+],31
CCN.Cl,31
CC[Zn]CC,31
O=C1NCCO1,31
CCOP(=O)(OCC)OCC,31
Cc1cc(C)cc(C)c1,31
CC[Si](Cl)(CC)CC,31
O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-].[K+].[K+].[K+].[K+].[K+],31
C[Sn](C)(C)Cl,31
N#CCc1ccc(Cl)cc1Cl,31
Cc1cccnc1,31
CCOC(=O)C(F)(F)F,31
N#C[Hg]C#N,31
O.O=S(=O)([O-])c1cccc(P(c2cccc(S(=O)(=O)[O-])c2)c2cccc(S(=O)(=O)[O-])c2)c1.[Na+].[Na+].[Na+],31
O=C(O)Cc1cccc(Br)c1,31
O.O.O.O=P([O-])([O-])[O-].[K+].[K+].[K+],31
CC1=Nc2ccc(CC(=O)O)cc2C1(C)C,31
CCOC(C)=O.CCOCC,30
C1CCOC1.CCO,30
CC(C)(C)OC=O,30
C[Si](C)(C)O[K],30
O=C(O)O,30
c1ccoc1,30
Cc1cc(C)c(C)c(C)c1C,30
CCO.CC[O-].[Na+],30
OB(O)c1ccc(F)nc1,30
O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+],30
CC[Al+]CC.[Cl-],30
CCCC=CCCCCCC,30
CCOC(=O)CS.Nc1cncs1,30
COC(=O)[C@@H](N)Cc1ccccc1.Cl,30
CS(C)(=O)=O,30
F[P-](F)(F)(F)(F)F.c1cnc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,30
C1CCOC1.Cc1ccccc1,30
CCC1CO1,30
C1=c2ccccc2=C(c2cccc3ccccc23)C(P(c2ccccc2)c2ccccc2)(P(c2ccccc2)c2ccccc2)C1,30
CCOC(=O)[N+](=[N-])C(=O)OCC,30
COc1ccnc2c1ccc1c(OC)ccnc12,30
C=CCCl,30
CCN=C=O,30
CC[Mg+].[Br-],30
CCP(CC)CC,30
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,30
CCCC[B+]CCCC.O=S(=O)([O-])C(F)(F)F,30
COc1cc(OC)cc(C(=CC#N)c2ccc3c(c2)OCCO3)c1,30
CCOC(=O)Cc1cccc(Br)c1,30
CNCc1c2n(c3ccccc13)CCC2,30
Cl.O=C(O)/C=C/c1cnc2c(c1)CCC(=O)N2,30
COc1cc(S(=O)(=O)Cl)ccc1F,30
NS(=O)(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1Nc1ccccc1,29
CCOC(C)=O.Cc1ccccc1,29
O=C1CCC(=O)O1,29
[I-].[I-].[Mg+2],29
CN(C)C(On1nnc2ccc(Cl)cc21)=[N+](C)C.F[P-](F)(F)(F)(F)F,29
[CH]Cl,29
CC(O)CO,29
CC(=O)[O-].CC(=O)[O-].O.O.O.[Pb+2],29
CCC(C)(C)[O-].[Na+],29
O.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Yb+3],29
Cc1ccc(S(=O)(=O)OS(=O)(=O)c2ccc(C)cc2)cc1,29
CC(C)C[C@H](N)C(=O)O,29
C[N+]1(CCN=C=NC2CCCCC2)CCOCC1.Cc1ccc(S(=O)(=O)[O-])cc1,29
ClCc1ccccc1,29
Cl.OC1CNC1,29
COCCNc1cccc(C(=O)O)c1C(=O)O,29
NC1CCCC1,29
COc1ccc2ccc(=O)n(CCN3CCC(NC(=O)OC(C)(C)C)CC3)c2c1,29
Cc1ccc(S(=O)(=O)OC[C@H]2CO2)cc1,29
C[Si](C)(C)CCOCn1cc(C#N)nc1C(=O)[O-].[K+],29
CSc1cc(C)nc(SC)c1NC(=O)CN1CCN(CCO)CC1,29
Sc1nc2ccccc2[nH]1,29
CC(C)(CO)CO,29
CC(C)(C)c1nc(N2CCOCC2)c2nnn(Cc3ccccc3Cl)c2n1,29
Cc1ccnc(N)c1C,28
O=C(Cl)c1cccc([N+](=O)[O-])c1,28
CCCCCBr,28
[Al+3].[H-].[H-].[H-],28
CCOC(=O)c1sc(N2CCN(Cc3ccc(C(F)(F)F)cc3)C2=O)cc1C,28
C[Sn+](C)C.[OH-],28
C1CCC(OC2CCCCO2)OC1,28
CCCCS,28
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,28
CO.[Na+].[OH-],28
Cl.NCCS,28
Oc1cccc(Br)c1,28
Cl.NN,28
C=CC(=O)O,28
CNC1(NC)C=CN=CC1,28
OCCBr,28
O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3].[O-2].[O-2].[O-2],28
CC(C)(C)OC(N)=O,28
[N-]=[N+]=NCCN,28
OB(O)c1cccc(Cl)c1,28
O=C(O)CCl,28
CC(=O)N[C@@H](CS)C(=O)O,28
COc1cc2c(cc1C)C1(CO2)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21,28
Oc1ccc(Br)cc1,27
Cl[Sn](Cl)(Cl)Cl.O,27
CC1(C)CC=C(c2nccs2)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,27
OB(O)c1ccc(F)cc1,27
CC(C)(C)[NH3+].[I-],27
O=NO,27
CCNc1cc(OC)ccc1C1CCc2cc(OC)ccc2C1,27
N[C@@H]1c2ccccc2C[C@@H]1O,27
C=CC#N,27
[I-].[NH4+],27
NC[C@H]1CC[C@H](C(=O)O)CC1,27
CCCCN1CCN2CCN(CCCC)P1N(CCCC)CC2,27
CC(C)=O.CCCCCC,27
CSCC(CSC(C)=O)C(=O)N1CCC[C@H]1C(=O)O,27
OCCOCCOCCO,27
Nc1cccnc1,27
CSC(=C[N+](=O)[O-])SC,27
N[C@@H](CS)C(=O)O,27
C=C,27
OB(O)c1ccc(O)cc1,27
NOP(=O)(c1ccccc1)c1ccccc1,27
CCCCC([Sn])=C(CCCC)CCCC,27
CC(C)O[N+](=O)[O-],27
N[C@H]1CCCC[C@@H]1N,27
O=C=NC(=O)C(Cl)(Cl)Cl,27
CCCCCN1C(=O)C(O)(c2cc3c(cc2O)OCO3)c2c(Br)cccc21,27
CCOC(=O)c1nc2ccccc2c(=O)[nH]1,27
CCOC(=O)CC(C)=O,26
CCOC(=O)C1CCNCC1,26
C[N+](C)(C)C.[OH-],26
CC(C)=O.O,26
NCCNCCN,26
[Mg+2].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-],26
CC(C)(C)O[AlH-](OC(C)(C)C)OC(C)(C)C.[Li+],26
O=C(NC1CCCCC1)NC1CCCCC1,26
Cc1ccc(S(=O)(=O)O)cc1.c1ccncc1,26
CCCCCCCCBr,26
c1ccc(Cc2ccccc2)cc1,26
O=[N+]([O-])c1ccc(O)cc1,26
CN(C)C(Cl)=[N+](C)C.F[P-](F)(F)(F)(F)F,26
ClOCl,26
O=C1OC(=O)c2ccccc21,26
C[N+](C)(C)Cc1ccccc1.C[N+](C)(C)Cc1ccccc1.C[N+](C)(C)Cc1ccccc1.[Br-].[Br-].[Br-],26
N=C(N)NCCC[C@H](N)C(=O)O,26
Clc1ncc(Br)c(Cl)n1,26
CCCS(=O)(=O)c1ccc(F)c(C#C[Si](C)(C)C)c1,26
COC1=NS(=O)N=C1OC,26
CC1(c2ccccc2)OC(=O)C(O)=C1O,26
CCN(CC)[PH]1(NC(C)(C)C)N(C)CCCN1C,26
CCCCCN1C(=O)C(=O)c2ccccc21,26
NCc1ccnc(OCCCc2ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)n2)c1,26
CCOC(=O)COc1cccc2c1CC(=CCCN1CCC(O)(c3ccc(Cl)cc3)CC1)c1cccnc1O2,25
C#N,25
C#CCO,25
CCl,25
COC(=O)OC,25
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,25
O=B[O-].[Na+],25
CCC(=O)Cl,25
CCNC(C)C,25
CCO.CCOC(C)=O.N,25
CC1(C)CC(=O)CC(=O)C1,25
CN(C)[C@@H]1CCCC[C@H]1N,25
COCCl,25
CC(=O)C1CCCCC1=O,25
Nc1cccc(N)c1,25
CC(N)Cc1ccccc1.O=P(O)(O)O,25
OB(O)c1ccco1,25
COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)C)no4)c3)c2cc1OC,25
O=S(=O)([O-])[O-].[Ca+2],24
CCCCCC.ClCCl,24
CCOC(=O)C(C)(C)c1ccc(Br)cc1,24
C#CCN,24
CO.[K+].[OH-],24
CN(C)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,24
CC(C)(C)OC(=O)N1CCC(N)CC1,24
O=C1CCCCN1,24
O=C1NC(=O)c2ccccc21.[K],24
N#CCCl,24
COC(=O)CBr,24
O=C([O-])C(O)C(O)C(=O)[O-].[Na+].[Na+],24
COc1ccccc1OC,24
O=C1C2C3C=CC(C3)C2C(=O)N1O,24
CC[Al](CC)CC,24
O=C([O-])C(F)(F)F.c1cc[nH+]cc1,24
CN(C(=O)C(F)(F)F)[Si](C)(C)C,24
CC#N.Cl.O,24
OCCS,24
C[Sn](C)(C)C,24
C1CCOC1.[BH4-].[Li+],24
ClBr,24
[C-]#[C-].[Na+].[Na+],24
CN(C)P(N(C)C)N(C)C,24
C[S+](C)C.[I-],24
c1ccc(N2CCCC2)nc1,24
CN(C)C(=[O+]n1nnc2ccccc21)N(C)C.F[P-](F)(F)(F)(F)F,24
N#CC1(COc2cc(F)c(C(=O)O)cc2C2CC2)C2CC3CC(C2)CC1C3,24
CCB(CC)OC,24
C=CCI,24
[Cl-].[Cl-].[Zn+2],24
CNC(=O)CC(c1ccccc1)c1cccc2cc[nH]c12,24
C[S+](C)(C)=O.[I-],24
C1CNC1,24
COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1,24
CCOC(=O)C(=CC=C(C(=S)OCC)N(C)C)c1ccccc1,24
ClCI,24
COC(=O)C(N)c1ccc(F)cc1,24
Cl.N#CCN,24
C=COCCON,24
CC(C)O.CCOC(C)=O.O,24
NC1CCC(=O)NC1=O,24
c1ccc2c(c1)CCCC2,23
O.O.[Cl-].[Na+],23
CC1(C)CCC(=O)c2ccc(C#Cc3ccc(C(=O)O)cc3)cc21,23
CSCCC(N)C(=O)O,23
Cc1cccc(O)c1,23
CCN(CC)CC.O=CO,23
Oc1ccc2c(c1)C(O)CC(c1ccccc1)O2,23
CC(C)(C)OC(=O)N1CCC(=O)CC1,23
C[N+]1([O-])CCOCC1.O,23
CC(=O)Nc1cccc2c1C(=O)C(NC(C)=O)CC2,23
Nc1cc(CCCN2CCCCC2)cc(C(F)(F)F)c1,23
Nc1ccc(F)cc1,23
CCCCCO,23
[Al].[Li],23
O=CC1CCCC1,23
COP(=O)(OC)OC,23
C1CN=C2CCCN2C1,23
O=C1Nc2cccc(Br)c2C12COc1cc3c(cc12)OCO3,23
O[C@H]1CCNC1,23
CCC=O,23
CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,23
CC(C)(C)[NH3+].[F-],23
CC(=O)OC[C@H]1O[C@H](Br)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,23
[K+].[K+].[O]N(S(=O)(=O)[O-])S(=O)(=O)[O-],23
CC(C)C(=O)O,23
CC(O)=S,23
[N-]=[N+]=NS(=O)(=O)c1ccc(C(=O)O)cc1,23
C[Si](C)(Cl)CC[Si](C)(C)Cl,23
CN(C)[Al]CCl,23
N#CCc1ccc(Cl)c(Cl)c1,23
COCCOC.O,23
[Cl-].[Cl-].[Mn+2],23
Clc1ccnc(Cl)n1,23
Oc1cccc(Nc2nc(Cl)ncc2Br)c1,23
Nc1ccc2cc[nH]c2c1,23
Cc1cc(N)cc(C)c1O,23
CC(C)O.ClC(Cl)Cl,22
O=S(=O)([O-])[O-].[Ba+2],22
[P],22
BrC1CC1,22
O=S(=O)([O-])C(F)(F)F.[Li+],22
CC(C)CC(C)(C)C,22
[Na+].[O-][I+2]([O-])[O-],22
CC(C)(C)c1ccc([N+](=O)[O-])cc1OCCN1CCCCC1,22
[Cs+].[I-],22
c1ccc2[nH]nnc2c1,22
[Ca+2].[O-]Cl.[O-]Cl,22
SCCCS,22
CC(C)[C@H](N)C(=O)O,22
O=C1CNCCN1,22
O=C([O-])O.O=S([O-])([O-])=S.[Na+].[Na+].[Na+],22
C=CC(N)=O,22
Cc1ccccc1S(=O)(=O)Cl,22
O.[Cl-].[NH4+],22
CC1(C)COc2cc3c(cc21)C1(CO3)C(=O)Nc2ccccc21,22
C/C=C/C=O,22
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,22
CN(C)C(=O)/N=N/C(=O)N(C)C,22
CCCCCN1C(=O)C(CO)(c2cc3c(cc2O)OCO3)c2c(Cl)ccc(Cl)c21,22
Clc1ccccn1,22
COc1ccc(N)cc1Cl,22
O=C(O)c1cc(F)ccc1I,22
O=C([O-])O.O=C([O-])[O-].[Na+].[Na+].[Na+],22
O=C1CCCN1,22
Cc1ccc(Nc2cc(C(=O)O)c(Nc3ccc(C)cc3)cc2C(=O)O)cc1,22
C[N+](C)(C)C.[F-],22
COC(=O)c1cc(Oc2ccc(S(C)(=O)=O)cc2)cc2c1CC(C)O2,22
O=C1Nc2ccccc2C12COc1cc3c(cc12)OCO3,22
Cc1cc(C)c(S(=O)(=O)ON)c(C)c1,22
NCc1ccc(F)cc1,22
N#CCC#N,22
F[B-](F)(F)F.[Li+],22
C[Al](C)Cl,22
CN(C)c1ccc(B(O)O)cn1,22
CCCC[Sn+](CCCC)CCCC.C[O-],22
O=C(O)CCC(=O)C(=O)O,22
O=C(O)c1cccc(C(=O)O)n1,22
CC(=O)Nc1ccc(S(=O)(=O)N=[N+]=[N-])cc1,22
O=C1C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21,22
CN1CCCC1c1cccnc1,22
CC(C)Oc1ccc(N)cc1,22
Fc1cnc(Cl)nc1NC1CCCCC1,22
CCc1ccc(N)cc1,22
Cc1noc(C)c1N,22
CCOCC.OCCO,22
O=c1[nH]c(=O)n(Br)c(=O)n1Br,22
CNC(=O)c1cc(F)ccc1N,21
CCOC(=O)C=[N+]=[N-],21
